index_P,lesk_list
0,",'besides.r.02', 'suppose.v.01', 'year.n.03', 'metric_ton.n.01', 'percentage.n.01', 'taiwan.n.01', 'yield.n.03', 'output.v.01', 'left.n.05', 'putrefaction.n.01', 'metric_ton.n.01', 'percentage.n.01', 'vegetable.n.02','paper.n.05', 'blasted.s.01', 'neutralize.v.04', 'inadequate.s.02', 'storehouse.n.01', 'regretful.a.01', 'preservation.n.03', 'method.n.01','suppose.v.01', 'government.n.03', 'launch.v.03', 'national.n.01', 'program.v.02', 'reduce.v.15', 'neutralize.v.04', 'visit.v.03', 'improved.s.03', 'technology.n.01', 'storehouse.n.01', 'preservation.n.03', 'greater.a.01', 'production.n.06', 'additive.n.01','paper.n.05', 'give.v.43', 'detail.v.02',"
1,",'suppose.v.01', 'master_of_architecture.n.01', 'significance.n.02', 'rose.s.01', 'million.n.02', 'baht.n.01', 'million.n.02','thailand.n.01', 'improved.s.03', 'business.n.04', 'climate.n.02', 'year.n.03', 'result.v.03', 'percentage.n.01', 'increase.n.03', 'significance.n.02', 'sensitive.s.04', 'material.n.05', 'trailer_truck.n.01', 'finished.s.04', 'product.n.05','state.n.04', 'vegetable_oil.n.01', 'significance.n.02', 'poster.n.01', 'however.r.01', 'hide.n.01', 'percentage.n.01', 'first_gear.n.01', 'stern.n.01', 'due.n.02', 'lower.v.01', 'vegetable_oil.n.01', 'price.n.05','department.n.03', 'suppose.v.01', 'first_gear.n.01', 'stern.n.01', 'export.v.02', 'elaborate.v.01', 'million.n.02', 'baht.n.01', 'million.n.02','export.v.02', 'increase.n.03', 'little.s.05', 'expect.v.05', 'due.n.02', 'lower.v.01', 'net_income.n.01', 'many.a.01', 'winder.n.02', 'commodity.n.01', 'include.v.03', 'rice.v.01', 'net_income.n.01', 'worsen.v.01', 'percentage.n.01', 'gamboge.n.02', 'percentage.n.01', 'sugar.n.01', 'percentage.n.01', 'tin.v.03', 'percentage.n.01', 'canned.s.02', 'pineapple.n.02', 'seven-spot.n.01', 'percentage.n.01','product.n.05', 'register.v.01', 'senior_high_school.n.01', 'export.v.02', 'increase.n.03', 'jewelry.n.01', 'percentage.n.01', 'clothing.n.01', 'percentage.n.01', 'rubber_eraser.n.01', 'percentage.n.01',"
2,"'receive.v.02', 'department_of_agriculture.n.01', 'approval.n.04', 'pale_yellow.n.01', 'price.n.05', 'food.n.02', 'department.n.03', 'official.n.02', 'suppose.v.01', 'uranium.n.01', 'department.n.03', 'agribusiness.n.01', 'approved.s.01', 'continental.a.04', 'texture.n.05', 'colorado.n.01', 'sale.n.05', 'metric_ton.n.01', 'soft.s.10', 'pale_yellow.n.01', 'uranium.n.01', 'metric_ton.n.01', 'vitamin_c.n.01', 'fluorine.n.01', 'colombo.n.01','suppose.v.01', 'cargo.n.01', 'april.n.01', 'pitch.n.02',"
3,",,,,,'insist.v.03', 'japan.v.01', 'unfold.v.04', 'protected.s.02', 'rice.v.01', 'marketplace.n.02', 'besides.r.02', 'unfold.v.04', 'pale_yellow.n.01', 'marketplace.n.02', 'volume.n.06', 'origin.n.03', 'regulated.a.01', 'protect.v.02', 'local_anesthetic.n.01', 'farmer.n.01',,,,,,'gripe.v.01', 'citrus.n.02', 'significance.n.02',,'australia.n.01', 'large.s.06', 'gripe.v.01', 'supplier.n.01', 'japan.v.01', 'try_on.v.01', 'boost.v.02', 'export.v.02', 'prior.n.01', 'termination.n.01', 'four-spot.n.01', 'year.n.03', 'gripe.v.01', 'treaty.n.01', 'next.r.01', 'master_of_architecture.n.01','significance.n.02', 'uranium.n.01', 'corn_whiskey.n.01', 'hang.v.05', 'due.n.02', 'increased.a.01', 'sale.n.05', 'taiwan.n.01', 'south.r.01', 'united_states.n.01', 'japanese.n.01', 'soy.n.04', 'significance.n.02', 'brazil_nut.n.02', 'expect.v.05', 'upgrade.n.04', 'sharply.r.02', 'year.n.03', 'uranium.n.01', 'stay.v.04', 'large.s.06', 'supplier.n.01',,,,'agricultural.a.01', 'export.v.02', 'gripe.v.01', 'marketplace.n.02', 'entirely.r.02', 'typify.v.02', 'one.s.06', 'million.n.02', 'newfangled.s.01', 'business.n.04','uranium.n.01', 'besides.r.02', 'ask.v.07', 'general.v.01', 'agreement.n.06', 'tariff.v.01', 'trade.v.03', 'investigate.v.02', 'legality.n.01', 'japanese.n.01', 'significance.n.02', 'master.v.04', 'farm.v.01', 'product.n.05', 'include.v.03', 'yield.n.03', 'juice.n.04', 'puree.v.01', 'pulp.v.01', 'tomato.n.01', 'juice.n.04', 'catsup.n.01', 'sauce.v.02', 'peanuts.n.01', 'train.v.02', 'gripe.v.01', 'product.n.05', 'assorted.s.01', 'bean.v.01','help_oneself.v.01', 'sedate.v.01', 'heated.s.01', 'trade.v.03', 'sexual_intercourse.n.01', 'uranium.n.01', 'japan.v.01', 'top.v.07', 'business.n.04', 'group.v.02', 'urge.v.01', 'government.n.03', 'remove.v.02', 'residual.n.02', 'significance.n.02', 'restriction.n.01', 'agricultural.a.01', 'product.n.05','agribusiness.n.01', 'minister.v.02', 'ruled.s.01', 'emotional.a.03', 'reaction.n.05', 'elder.n.01', 'ministry.n.04', 'official.s.05', 'suppose.v.01', 'farm.v.01', 'offspring.n.01', 'become.v.02', 'scapegoat.n.01', 'trade.v.03', 'pressure.n.02', 'industrial.s.04', 'sector.n.05',,"
4,",'last.v.01', 'december.n.01', 'percentage.n.01', 'increase.n.03', 'consumer.n.01', 'price.n.05', 'refine.v.04', 'gamboge.n.02', 'meal.n.03', 'zambian.n.01', 'staple.v.01', 'run.v.03', 'food.n.02', 'rioting.n.01', 'least.a.01', 'people.n.03', 'die.v.08','price.n.05', 'increase.n.03', 'president.n.05', 'kaunda.n.01', 'subsequently.r.01', 'revoke.v.02', 'take_after.v.02', 'pressure.n.02', 'international.n.01', 'monetary.a.01', 'store.n.02', 'international_monetary_fund.n.01', 'reduce.v.15', 'government.n.03', 'subsidy.n.01', 'poster.n.01','however.r.01', 'producer.n.02', 'price.n.05', 'upgrade.n.04', 'kilogram.n.01', 'bulge.v.02', 'company.v.01', 'retail.r.01', 'price.n.05', 'increase.n.03', 'government.n.03', 'spend.v.01', 'subsidy.n.01', 'rehearse.v.01', 'warn.v.02', 'international_monetary_fund.n.01','way.r.01', 'raise.v.24', 'subsidy.n.01', 'level.n.05', 'meal.n.03',,"
5,",,'however.r.01', 'shower.v.03', 'hide.n.01', 'intermittently.r.01', 'last.v.01', 'weekend.n.01', 'producer.n.02', 'fear.v.01', 'another.s.01', 'while.n.01', 'prolong.v.02', 'intense.a.01', 'rain.v.01', 'lawsuit.n.01', 'wrong.n.02', 'crop.v.05', 'already.r.01', 'ill.r.01', 'strike.v.04', 'season.n.03','rain.v.01', 'middle.n.04', 'last.v.01', 'workweek.n.01', 'reach.v.07', 'modal.s.01', 'millimeter.n.01', 'part.n.11', 'aire.n.01', 'state.n.01', 'millimeter.n.01', 'cordoba.n.04', 'santa_claus.n.01', 'iron.n.01', 'rio_de_janeiro.n.01', 'eight-spot.n.01', 'taiwan.n.02','rain.n.01', 'period.n.07', 'louisiana.n.01','producer.n.02', 'fear.v.01', 'stay.v.04', 'damp.n.01', 'stipulate.v.01', 'produce.v.02', 'waste.v.10', 'star.n.04', 'still.r.04', 'lower.v.01', 'yield.n.03', 'estimate.n.05', 'crop.v.05', 'include.v.03', 'soy.n.04','however.r.01', 'state.n.04', 'begin.v.10', 'dry.v.02', 'subsequently.r.01', 'workweek.n.01', 'harvest.v.02', 'promote.v.02', 'well.r.07', 'reach.v.07', 'percentage.n.01', 'sphere.n.01', 'sow.v.02', 'subject.n.06', 'sunflower.n.01',,'season.n.03', 'production.n.06', 'prognosis.n.01', 'metric_ton.n.01', 'prognosis.n.01', 'last.v.01', 'workweek.n.01', 'percentage.n.01', 'record.v.01','sphere.n.01', 'sow.v.02', 'sunflower.n.01', 'two.n.01', 'hectare.n.01', 'percentage.n.01', 'record.v.01', 'hectare.n.01', 'last.v.01', 'season.n.03','gamboge.n.02', 'harvest.v.02', 'besides.r.02', 'reach.v.07', 'percentage.n.01', 'sphere.n.01', 'sow.v.02','dear.s.02', 'completion.n.02', 'cordoba.n.04', 'santa_claus.n.01', 'iron.n.01', 'begin.v.10', 'louisiana.n.01', 'southern.a.01', 'aire.n.01', 'subsequently.r.01', 'april.n.01','production.n.06', 'estimate.n.05', 'gamboge.n.02', 'last.v.01', 'workweek.n.01', 'metric_ton.n.01', 'estimate.v.01', 'previously.r.01','percentage.n.01', 'metric_ton.n.01', 'estimate.v.01', 'secret.s.05', 'source.n.07', 'crop.v.05', 'percentage.n.01', 'official.s.05', 'trope.n.01', 'metric_ton.n.01','gamboge.n.02', 'sow.v.02', 'hectare.n.01', 'two.n.01', 'seven-spot.n.01', 'percentage.n.01', 'last.v.01', 'season.n.03','sorghum.n.03', 'harvest.v.02', 'percentage.n.01', 'sphere.n.01', 'sow.v.02', 'cordoba.n.04', 'santa_claus.n.01', 'iron.n.01','harvest.v.02', 'startle.n.01', 'louisiana.n.01', 'aire.n.01', 'mid.s.01', 'april.n.01','sum.n.02', 'sphere.n.01', 'sow.v.02', 'hectare.n.01', 'percentage.n.01', 'sow.v.02', 'last.v.01', 'season.n.03','newfangled.s.01', 'prognosis.n.01', 'sorghum.n.03', 'crop.v.05', 'metric_ton.n.01', 'compare.v.04', 'trey.n.02', 'prognosis.n.01', 'last.v.01', 'workweek.n.01', 'percentage.n.01', 'last.v.01', 'season.n.03', 'metric_ton.n.01', 'crop.v.05','soy.n.04', 'crop.v.05', 'season.n.03', 'align.v.01', 'stay.v.04', 'record.v.01', 'metric_ton.n.01', 'percentage.n.01', 'estimate.v.01', 'secret.s.05', 'source.n.07', 'percentage.n.01', 'high.s.07', 'official.s.05', 'trope.n.01','sphere.n.01', 'sow.v.02', 'soy.n.04', 'season.n.03', 'record.v.01', 'hectare.n.01', 'percentage.n.01', 'record.v.01', 'sow.v.02','soy.n.04', 'crop.v.05', 'show.v.12', 'excessive.s.02', 'moisture.n.01', 'sphere.n.01', 'producer.n.02', 'fear.v.01', 'whitethorn.n.01', 'unwrap.v.02', 'wrong.n.02','experimental.s.03', 'harvest.v.02', 'transport.v.02', 'santa_claus.n.01', 'iron.n.01', 'sphere.n.01', 'take.v.27', 'one.s.06', 'percentage.n.01', 'sum.n.02', 'crop.v.05', 'detail.v.02', 'available.s.03',,"
6,",,,'well.r.11', 'hard.s.10', 'red.s.01', 'winter.v.01', 'percentage.n.01', 'protein.n.01', 'minimum.n.02', 'percentage.n.01', 'moisture.n.01', 'maximum.n.03','agent.n.05', 'suppose.v.01', 'newton.n.02', 'include.v.03', 'july.n.01', 'metric_ton.n.01', 'august.n.01', 'metric_ton.n.01', 'family.n.04', 'metric_ton.n.01','include.v.03', 'june.n.01', 'metric_ton.n.01', 'july.n.01', 'metric_ton.n.01', 'september.n.01', 'metric_ton.n.01',,"
7,",'ministry.n.04', 'spokesman.n.01', 'leonardo.n.01', 'speak.v.05', 'brasilia.n.01', 'tell.v.03', 'believe.v.04', 'five-spot.n.03', 'metric_ton.n.01', 'year.n.03', 'estimate.v.01', 'crop.v.05', 'metric_ton.n.01', 'suffer.v.11',,'brazil_nut.n.02', 'storehouse.n.01', 'capacity.n.06', 'metric_ton.n.01', 'theoretically.r.02', 'sufficient.a.01', 'crop.v.05','suppose.v.01', 'storehouse.n.01', 'capacity.n.06', 'ill.r.01', 'stagger.v.03','state.n.06', 'parana.n.01', 'rio_de_janeiro.n.01', 'percentage.n.01', 'state.n.04', 'capacity.n.06', 'responsible.s.02', 'percentage.n.01', 'production.n.06','large.a.01', 'trouble.n.01', 'saturated.a.01', 'centre.n.01', 'west.n.08', 'turn.v.07', 'region.n.05', 'rise.v.13', 'production.n.06', 'outpace.v.01', 'storehouse.n.01', 'capacity.n.06','suppose.v.01', 'centre.n.01', 'west.n.08', 'crop.v.05', 'include.v.03', 'soy.n.04', 'gamboge.n.02', 'percentage.n.01', 'state.n.04', 'texture.n.05', 'production.n.06', 'percentage.n.01', 'storehouse.n.01', 'space.n.08',,'ultimately.r.01', 'deficit.n.01', 'lorry.n.02', 'transport.v.02', 'crop.v.05','sheer.r.01', 'scale.v.08', 'task.v.01', 'transport.v.02', 'record.v.01', 'crop.v.05', 'discernible.s.03', 'television_receiver.n.01', 'reputation.n.03', 'show.v.12', 'enormous.s.01', 'queue.n.03', 'lorry.n.02', 'wait.v.04', 'outside.r.01', 'granary.n.01',"
8,",,'france.n.01', 'sold.a.01', 'sum.n.02', 'metric_ton.n.01', 'soft.s.10', 'pale_yellow.n.01', 'tunisia.n.01', 'begin.v.10', 'current.n.02', 'political_campaign.n.01', 'shroud.v.01', 'export.v.02', 'credits.n.01',,"
9,",'bonus.n.02', 'award.v.02', 'metric_ton.n.01', 'pay_up.v.01', 'peavey.n.01', ""ship's_company.n.01"", 'shape.v.02', 'commodity.n.01', 'three_hundred.s.01', 'store.n.02',,,,"
